Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Attack Length,Target
tcp,39.149.148.192,192.168.3.52,53004,6363,418,1,1
tcp,192.168.3.52,192.168.3.53,45846,6363,430,1,1
tcp,192.168.3.53,192.168.3.52,6363,45846,762,1,1
tcp,192.168.3.52,39.149.148.192,6363,53004,750,1,1
tcp,39.149.148.192,192.168.3.52,53004,6363,669,1,1
tcp,192.168.3.52,192.168.3.53,45846,6363,681,1,1
tcp,192.168.3.53,192.168.3.52,6363,45846,1102,1,1
tcp,192.168.3.52,39.149.148.192,6363,53004,1090,1,1
tcp,39.149.148.192,192.168.3.52,53004,6363,509,1,1
tcp,192.168.3.52,192.168.3.53,45846,6363,521,1,1
tcp,192.168.3.53,192.168.3.52,6363,45846,782,1,1
tcp,192.168.3.52,39.149.148.192,6363,53004,770,1,1
tcp,39.149.148.192,192.168.3.52,53004,6363,544,1,1
tcp,192.168.3.52,192.168.3.53,45846,6363,556,1,1
tcp,192.168.3.53,192.168.3.52,6363,45846,1747,1,1
tcp,192.168.3.52,39.149.148.192,6363,53004,1452,1,1
tcp,192.168.3.52,39.149.148.192,6363,53004,323,1,1
tcp,39.149.148.192,192.168.3.52,53004,6363,544,1,1
tcp,192.168.3.52,192.168.3.53,45846,6363,556,1,1
tcp,192.168.3.53,192.168.3.52,6363,45846,1747,1,1
tcp,192.168.3.52,39.149.148.192,6363,53004,1452,1,1
tcp,192.168.3.52,39.149.148.192,6363,53004,323,1,1
tcp,39.149.148.192,192.168.3.52,53004,6363,544,1,1
tcp,192.168.3.52,192.168.3.53,45846,6363,556,1,1
tcp,192.168.3.53,192.168.3.52,6363,45846,785,1,1
tcp,192.168.3.52,39.149.148.192,6363,53004,773,1,1
tcp,39.149.148.192,192.168.3.52,53004,6363,560,1,1
tcp,192.168.3.52,192.168.3.53,45846,6363,572,1,1
tcp,192.168.3.53,192.168.3.52,6363,45846,785,1,1
tcp,192.168.3.52,39.149.148.192,6363,53004,773,1,1
tcp,39.149.148.192,192.168.3.52,53004,6363,509,1,1
tcp,192.168.3.52,192.168.3.53,45846,6363,521,1,1
tcp,192.168.3.53,192.168.3.52,6363,45846,782,1,1
tcp,192.168.3.52,39.149.148.192,6363,53004,770,1,1
tcp,39.149.148.192,192.168.3.52,53004,6363,606,1,1
tcp,192.168.3.52,192.168.3.53,45846,6363,618,1,1
tcp,192.168.3.53,192.168.3.52,6363,45846,879,1,1
tcp,192.168.3.52,39.149.148.192,6363,53004,867,1,1
tcp,39.149.148.192,192.168.3.52,53018,6363,627,1,1
tcp,39.149.148.192,192.168.3.52,53017,6363,627,1,1
tcp,192.168.3.52,192.168.3.53,45846,6363,639,1,1
tcp,192.168.3.53,192.168.3.52,6363,45846,1500,1,1
tcp,192.168.3.52,192.168.3.53,45846,6363,639,1,1
tcp,192.168.3.53,192.168.3.52,6363,45846,2948,1,1
tcp,192.168.3.53,192.168.3.52,6363,45846,3390,1,1
tcp,192.168.3.52,39.149.148.192,6363,53018,1452,1,1
tcp,192.168.3.52,39.149.148.192,6363,53018,1452,1,1
tcp,192.168.3.52,39.149.148.192,6363,53018,1452,1,1
tcp,192.168.3.52,39.149.148.192,6363,53018,1452,1,1
tcp,192.168.3.52,39.149.148.192,6363,53018,1452,1,1
tcp,192.168.3.52,39.149.148.192,6363,53018,662,1,1
tcp,192.168.3.53,192.168.3.52,6363,45846,1500,1,1
tcp,192.168.3.53,192.168.3.52,6363,45846,2948,1,1
tcp,192.168.3.53,192.168.3.52,6363,45846,3390,1,1
