Highest Layer,Transport Layer,Dest IP,Source IP,Dest Port,Source Port,Packet Length,Packets/Time,Target
tcp,tcp,192.168.3.50,58.60.1.42,22,10137,148,1,0
tcp,tcp,58.60.1.42,192.168.3.50,10137,22,40,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,10137,172,1,0
tcp,tcp,58.60.1.42,192.168.3.50,10137,22,40,1,0
udp,udp,fe80::9d88:b591:7d7f:b1a9,ff02::1:2,546,547,137,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,76,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,40,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,76,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,84,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,92,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,100,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,108,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,196,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,76,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,76,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,196,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,76,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,76,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,196,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,76,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,76,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,196,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,84,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,92,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,84,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,156,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,76,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,76,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,10137,148,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,84,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,84,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,1500,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,1500,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,508,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,52,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,10137,22,40,1,0
udp,udp,192.168.3.39,225.3.3.3,35417,53,61,1,0
udp,udp,192.168.3.39,225.3.3.3,35417,53,61,1,0
udp,udp,fe80::9d88:b591:7d7f:b1a9,ff02::1:2,546,547,137,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,10137,164,1,0
tcp,tcp,58.60.1.42,192.168.3.50,10137,22,40,1,0
udp,udp,192.168.3.14,192.168.3.255,137,137,78,1,0
udp,udp,192.168.3.14,192.168.3.255,137,137,78,1,0
udp,udp,192.168.3.14,192.168.3.255,137,137,78,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,10137,148,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,84,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,1500,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,1396,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,84,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,84,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,10137,22,40,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,10137,164,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,10137,76,1,0
tcp,tcp,58.60.1.42,192.168.3.50,10137,22,40,1,0
udp,udp,192.168.3.39,225.3.3.3,49484,53,61,1,0
udp,udp,192.168.3.39,225.3.3.3,49484,53,61,1,0
udp,udp,fe80::9d88:b591:7d7f:b1a9,ff02::1:2,546,547,137,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,10137,148,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,84,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,1500,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,1484,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,84,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,36825,84,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,52,1,0
tcp,tcp,58.60.1.42,192.168.3.50,36825,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,10137,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,10262,22,76,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,10262,40,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,10137,164,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,10137,76,1,0
tcp,tcp,58.60.1.42,192.168.3.50,10137,22,40,1,0
tcp,tcp,58.60.1.42,192.168.3.50,10263,22,76,1,0
tcp,tcp,192.168.3.50,58.60.1.42,22,10263,40,1,0
udp,udp,192.168.3.39,225.3.3.3,27394,53,61,1,0
